fecha,vuelos_totales,atrasos_totales_arribo,atrasos_totales_salida,vuelos_cancelados,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
29/5/1998,15037,4071,3047,313,0,0,0,0,0
15/9/1998,15236,3675,3204,1745,0,0,0,0,0
24/9/1998,15242,2847,2103,313,0,0,0,0,0
16/8/1998,14715,3419,2952,156,0,0,0,0,0
25/8/1998,15360,3552,2837,506,0,0,0,0,0
26/7/1998,14630,2695,2520,160,0,0,0,0,0
17/7/1998,15341,4452,3663,292,0,0,0,0,0
27/6/1998,13750,4803,4438,606,0,0,0,0,0
18/6/1998,15231,5484,4166,484,0,0,0,0,0
28/5/1998,14996,3414,2735,333,0,0,0,0,0
19/5/1998,15012,2816,2265,449,0,0,0,0,0
29/4/1998,15097,3171,2525,338,0,0,0,0,0
14/9/1998,15250,3142,2835,1660,0,0,0,0,0
23/9/1998,15214,1825,1431,251,0,0,0,0,0
15/8/1998,13886,2219,2128,160,0,0,0,0,0
24/8/1998,15365,4820,3878,779,0,0,0,0,0
25/7/1998,13804,2097,1951,215,0,0,0,0,0
16/7/1998,15303,3691,3011,295,0,0,0,0,0
26/6/1998,15273,5677,4862,679,0,0,0,0,0
17/6/1998,15201,3521,2728,447,0,0,0,0,0
27/5/1998,14978,2792,2243,308,0,0,0,0,0
18/5/1998,15019,2237,1944,306,0,0,0,0,0
28/4/1998,15091,2528,1961,330,0,0,0,0,0
19/4/1998,14343,3865,3307,155,0,0,0,0,0
29/3/1998,14368,2763,2191,79,0,0,0,0,0
22/9/1998,15220,2211,1532,338,0,0,0,0,0
13/9/1998,14429,2953,2849,1454,0,0,0,0,0
14/8/1998,15419,4339,3313,195,0,0,0,0,0
23/8/1998,14717,2421,2100,152,0,0,0,0,0
15/7/1998,15273,2440,2079,291,0,0,0,0,0
24/7/1998,15332,3574,3171,296,0,0,0,0,0
25/6/1998,15237,4343,3694,320,0,0,0,0,0
16/6/1998,15206,5277,4116,720,0,0,0,0,0
26/5/1998,15009,2012,1670,172,0,0,0,0,0
17/5/1998,14206,1990,1910,196,0,0,0,0,0
27/4/1998,15109,2328,1715,260,0,0,0,0,0
18/4/1998,13289,2326,1949,132,0,0,0,0,0
28/3/1998,13455,2243,1992,132,0,0,0,0,0
19/3/1998,15201,5486,4515,373,0,0,0,0,0
9/12/1998,15154,2026,1518,337,0,0,0,0,0
21/9/1998,15236,2620,2044,385,0,0,0,0,0
12/9/1998,13362,2256,2217,1353,0,0,0,0,0
30/9/1998,15192,2766,2056,302,0,0,0,0,0
22/8/1998,13887,2184,1849,216,0,0,0,0,0
13/8/1998,15380,3027,2419,204,0,0,0,0,0
31/8/1998,15374,3447,3125,1768,0,0,0,0,0
14/7/1998,15277,2469,1978,270,0,0,0,0,0
23/7/1998,15298,4516,3670,422,0,0,0,0,0
24/6/1998,15211,3491,2920,374,0,0,0,0,0
15/6/1998,15208,4226,3091,398,0,0,0,0,0
25/5/1998,14295,1901,1495,119,0,0,0,0,0
16/5/1998,13240,1883,1748,256,0,0,0,0,0
26/4/1998,14323,3726,2822,141,0,0,0,0,0
17/4/1998,15152,4157,3252,217,0,0,0,0,0
27/3/1998,15224,4028,3252,180,0,0,0,0,0
18/3/1998,15178,6183,5000,617,0,0,0,0,0
19/2/1998,15166,3767,2830,307,0,0,0,0,0
28/2/1998,13383,1992,1603,162,0,0,0,0,0
29/1/1998,15080,1908,1478,267,0,0,0,0,0
8/12/1998,15157,3791,2726,348,0,0,0,0,0
9/11/1998,15139,3350,2143,280,0,0,0,0,0
11/9/1998,15300,3981,3708,1656,0,0,0,0,0
20/9/1998,14426,3253,2709,375,0,0,0,0,0
21/8/1998,15406,2687,2310,212,0,0,0,0,0
12/8/1998,15369,2937,2281,321,0,0,0,0,0
30/8/1998,14711,3440,3181,1576,0,0,0,0,0
13/7/1998,15282,2144,1825,216,0,0,0,0,0
31/7/1998,15331,3567,3090,226,0,0,0,0,0
22/7/1998,15274,4035,3276,479,0,0,0,0,0
23/6/1998,15210,4301,3321,542,0,0,0,0,0
14/6/1998,14463,3888,3355,208,0,0,0,0,0
24/5/1998,12456,1039,846,100,0,0,0,0,0
15/5/1998,15024,4250,3670,283,0,0,0,0,0
25/4/1998,13283,1273,1229,165,0,0,0,0,0
16/4/1998,15119,4852,3634,252,0,0,0,0,0
26/3/1998,15197,3689,3034,230,0,0,0,0,0
17/3/1998,15174,4138,3249,373,0,0,0,0,0
27/2/1998,15180,2797,2318,207,0,0,0,0,0
18/2/1998,15152,4120,3319,450,0,0,0,0,0
19/1/1998,15055,2461,1817,286,0,0,0,0,0
28/1/1998,15066,3388,2507,562,0,0,0,0,0
7/12/1998,15177,2726,1929,276,0,0,0,0,0
8/11/1998,14318,3563,2882,98,0,0,0,0,0
9/10/1998,15223,3985,3427,220,0,0,0,0,0
10/9/1998,15269,2972,2766,1692,0,0,0,0,0
20/8/1998,15389,2779,2142,218,0,0,0,0,0
11/8/1998,15376,3371,2831,415,0,0,0,0,0
12/7/1998,14641,2270,2035,199,0,0,0,0,0
30/7/1998,15294,4142,3625,418,0,0,0,0,0
21/7/1998,15278,4405,3509,513,0,0,0,0,0
22/6/1998,15231,4163,3495,367,0,0,0,0,0
13/6/1998,13661,5075,4564,757,0,0,0,0,0
14/5/1998,14992,3074,2426,244,0,0,0,0,0
23/5/1998,12518,1770,1593,92,0,0,0,0,0
24/4/1998,15154,2389,2138,225,0,0,0,0,0
15/4/1998,15105,3854,2614,283,0,0,0,0,0
25/3/1998,15178,2249,1766,255,0,0,0,0,0
16/3/1998,15185,3776,3098,308,0,0,0,0,0
26/2/1998,15158,3653,2788,303,0,0,0,0,0
17/2/1998,15148,6897,5222,578,0,0,0,0,0
18/1/1998,14193,3130,2385,330,0,0,0,0,0
27/1/1998,15062,2176,1597,423,0,0,0,0,0
6/12/1998,14352,4490,3610,194,0,0,0,0,0
7/11/1998,13139,1569,1309,231,0,0,0,0,0
8/10/1998,15200,3033,2339,190,0,0,0,0,0
10/8/1998,15389,4822,4035,805,0,0,0,0,0
11/7/1998,13816,1821,1757,228,0,0,0,0,0
20/7/1998,15292,4036,3164,384,0,0,0,0,0
30/6/1998,15226,6179,5348,983,0,0,0,0,0
21/6/1998,14503,2840,2628,210,0,0,0,0,0
12/6/1998,15205,5575,4464,343,0,0,0,0,0
31/5/1998,14209,3766,3056,558,0,0,0,0,0
22/5/1998,15049,3955,3417,149,0,0,0,0,0
13/5/1998,14963,2492,1933,297,0,0,0,0,0
23/4/1998,15115,3826,2969,358,0,0,0,0,0
14/4/1998,15110,2255,1551,200,0,0,0,0,0
24/3/1998,15180,2134,1575,348,0,0,0,0,0
15/3/1998,14378,3641,3000,136,0,0,0,0,0
16/2/1998,15069,5431,3912,268,0,0,0,0,0
25/2/1998,15138,3557,2763,780,0,0,0,0,0
17/1/1998,13151,1983,1567,265,0,0,0,0,0
26/1/1998,15062,2382,1831,318,0,0,0,0,0
5/12/1998,13172,2326,1905,203,0,0,0,0,0
6/11/1998,15190,2381,2146,166,0,0,0,0,0
7/10/1998,15167,2227,1645,223,0,0,0,0,0
10/7/1998,15329,3395,3029,283,0,0,0,0,0
20/6/1998,13742,3853,3294,244,0,0,0,0,0
11/6/1998,15151,6720,5595,534,0,0,0,0,0
21/5/1998,15012,4209,3419,249,0,0,0,0,0
12/5/1998,14993,3093,2216,419,0,0,0,0,0
30/5/1998,13229,2067,1759,242,0,0,0,0,0
22/4/1998,15096,2467,1796,228,0,0,0,0,0
13/4/1998,15117,3129,2410,190,0,0,0,0,0
23/3/1998,15187,2628,2188,256,0,0,0,0,0
14/3/1998,13450,2495,2228,166,0,0,0,0,0
15/2/1998,14204,2024,1557,173,0,0,0,0,0
24/2/1998,15146,4301,3282,654,0,0,0,0,0
16/1/1998,15096,6069,4868,734,0,0,0,0,0
25/1/1998,14195,1620,1329,256,0,0,0,0,0
4/12/1998,15202,2111,1706,193,0,0,0,0,0
5/11/1998,15157,2362,1764,180,0,0,0,0,0
6/10/1998,15151,3788,2951,561,0,0,0,0,0
10/6/1998,15124,5070,3814,454,0,0,0,0,0
20/5/1998,15001,3133,2466,343,0,0,0,0,0
11/5/1998,15000,3334,2691,390,0,0,0,0,0
30/4/1998,15091,3497,2668,268,0,0,0,0,0
21/4/1998,15096,2028,1608,289,0,0,0,0,0
12/4/1998,14214,1579,1204,102,0,0,0,0,0
31/3/1998,15163,3053,2334,368,0,0,0,0,0
22/3/1998,14375,3580,3215,262,0,0,0,0,0
13/3/1998,15216,3218,2695,228,0,0,0,0,0
14/2/1998,13325,2346,2031,232,0,0,0,0,0
23/2/1998,15156,3832,2636,312,0,0,0,0,0
15/1/1998,15076,6061,4775,715,0,0,0,0,0
24/1/1998,13150,1661,1334,250,0,0,0,0,0
3/12/1998,15170,2243,1716,203,0,0,0,0,0
4/11/1998,15133,2002,1506,216,0,0,0,0,0
5/10/1998,15175,5210,4212,1072,0,0,0,0,0
10/5/1998,14188,2748,2405,329,0,0,0,0,0
20/4/1998,15115,2616,2164,230,0,0,0,0,0
11/4/1998,13075,1575,1262,96,0,0,0,0,0
30/3/1998,15179,3013,2306,254,0,0,0,0,0
21/3/1998,13447,3603,2992,203,0,0,0,0,0
12/3/1998,15196,2600,2286,258,0,0,0,0,0
13/2/1998,15185,2660,2229,139,0,0,0,0,0
22/2/1998,14322,3434,2712,141,0,0,0,0,0
14/1/1998,15067,4570,3390,524,0,0,0,0,0
23/1/1998,15098,4778,3781,617,0,0,0,0,0
2/12/1998,15122,2376,2038,366,0,0,0,0,0
3/11/1998,15139,1701,1319,296,0,0,0,0,0
4/10/1998,14375,4274,3155,166,0,0,0,0,0
10/4/1998,14914,2147,1813,169,0,0,0,0,0
20/3/1998,15222,5701,4697,335,0,0,0,0,0
11/3/1998,15173,2928,2538,322,0,0,0,0,0
12/2/1998,15161,3196,2481,220,0,0,0,0,0
21/2/1998,13387,2377,1969,230,0,0,0,0,0
13/1/1998,15062,2759,1931,426,0,0,0,0,0
31/1/1998,13175,1558,1329,173,0,0,0,0,0
22/1/1998,15081,4730,3609,524,0,0,0,0,0
1/12/1998,15184,2152,1724,160,0,0,0,0,0
2/11/1998,15152,2160,1930,374,0,0,0,0,0
3/10/1998,13255,2212,1768,314,0,0,0,0,0
10/3/1998,15171,2395,1918,317,0,0,0,0,0
11/2/1998,15112,4367,3129,432,0,0,0,0,0
20/2/1998,15185,3171,2709,209,0,0,0,0,0
21/1/1998,15068,3315,2407,389,0,0,0,0,0
12/1/1998,15060,4650,3941,886,0,0,0,0,0
30/1/1998,15095,2325,1858,276,0,0,0,0,0
1/11/1998,14343,2848,2499,207,0,0,0,0,0
2/10/1998,15191,4087,3360,448,0,0,0,0,0
10/2/1998,15079,3911,2951,520,0,0,0,0,0
20/1/1998,15057,1742,1257,299,0,0,0,0,0
11/1/1998,14240,4424,3701,460,0,0,0,0,0
1/10/1998,15158,2788,2130,300,0,0,0,0,0
10/1/1998,13205,1959,1772,218,0,0,0,0,0
29/12/1998,15165,7152,6612,541,0,0,0,0,0
28/12/1998,15186,5753,5432,519,0,0,0,0,0
19/12/1998,13333,3896,3412,176,0,0,0,0,0
29/11/1998,14623,2293,2059,66,0,0,0,0,0
27/12/1998,14452,4609,4261,453,0,0,0,0,0
18/12/1998,15305,4776,3826,175,0,0,0,0,0
28/11/1998,13328,1175,1195,56,0,0,0,0,0
19/11/1998,15220,2921,2248,226,0,0,0,0,0
29/10/1998,15180,2499,1887,255,0,0,0,0,0
26/12/1998,13211,3278,2890,116,0,0,0,0,0
17/12/1998,15294,3581,2847,187,0,0,0,0,0
18/11/1998,15181,1647,1321,268,0,0,0,0,0
27/11/1998,11856,691,672,90,0,0,0,0,0
28/10/1998,15164,1743,1393,244,0,0,0,0,0
19/10/1998,15199,2432,1907,185,0,0,0,0,0
25/12/1998,12573,2641,2504,261,0,0,0,0,0
16/12/1998,15265,2315,1836,267,0,0,0,0,0
17/11/1998,15175,2519,1868,348,0,0,0,0,0
26/11/1998,11232,853,756,56,0,0,0,0,0
27/10/1998,15160,1772,1291,255,0,0,0,0,0
18/10/1998,14412,3210,2895,134,0,0,0,0,0
16/12/1999,15820,3792,3010,193,0,0,0,0,0
25/12/1999,12138,966,979,166,0,0,0,0,0
26/11/1999,11941,997,872,92,0,0,0,0,0
17/11/1999,15813,1759,1503,331,0,0,0,0,0
27/10/1999,15902,1951,1562,326,0,0,0,0,0
18/10/1999,15912,2867,2258,268,0,0,0,0,0
15/12/1999,15746,4648,3445,470,0,0,0,0,0
24/12/1999,13884,2098,1727,173,0,0,0,0,0
25/11/1999,11554,1101,865,58,0,0,0,0,0
16/11/1999,15808,2918,2390,420,0,0,0,0,0
26/10/1999,15904,1907,1459,266,0,0,0,0,0
17/10/1999,15139,4020,3403,240,0,0,0,0,0
14/12/1999,15739,3634,2656,453,0,0,0,0,0
23/12/1999,15862,5257,4369,224,0,0,0,0,0
24/11/1999,15869,3145,2660,79,0,0,0,0,0
15/11/1999,15823,3290,3039,364,0,0,0,0,0
16/10/1999,13813,2446,2034,457,0,0,0,0,0
25/10/1999,15896,2198,1820,199,0,0,0,0,0
13/12/1999,15758,3614,2758,329,0,0,0,0,0
31/12/1999,11520,1063,1079,321,0,0,0,0,0
22/12/1999,15868,5425,4578,150,0,0,0,0,0
23/11/1999,15828,5159,4257,239,0,0,0,0,0
14/11/1999,15006,3577,3074,206,0,0,0,0,0
15/10/1999,15923,3591,3131,741,0,0,0,0,0
24/10/1999,15149,2430,2207,103,0,0,0,0,0
12/12/1999,14939,2368,1928,162,0,0,0,0,0
30/12/1999,15728,2054,1995,228,0,0,0,0,0
21/12/1999,15861,4114,3398,280,0,0,0,0,0
22/11/1999,15832,3798,3058,568,0,0,0,0,0
13/11/1999,13687,2131,1958,311,0,0,0,0,0
14/10/1999,15906,4398,3870,504,0,0,0,0,0
23/10/1999,13796,1855,1648,244,0,0,0,0,0
20/12/1999,15870,4783,3854,460,0,0,0,0,0
11/12/1999,13615,2017,1532,251,0,0,0,0,0
30/11/1999,15814,3177,2406,187,0,0,0,0,0
21/11/1999,15000,2730,2221,191,0,0,0,0,0
12/11/1999,15827,3022,2537,210,0,0,0,0,0
13/10/1999,15909,5506,4376,914,0,0,0,0,0
22/10/1999,15923,4350,3640,225,0,0,0,0,0
31/10/1999,14945,2112,1914,326,0,0,0,0,0
10/12/1999,15767,3940,3137,258,0,0,0,0,0
20/11/1999,13680,1991,1919,179,0,0,0,0,0
11/11/1999,15823,2333,1947,223,0,0,0,0,0
12/10/1999,15898,2634,2181,323,0,0,0,0,0
30/10/1999,13617,2149,1686,300,0,0,0,0,0
21/10/1999,15920,2572,2030,217,0,0,0,0,0
10/11/1999,15804,3286,2650,312,0,0,0,0,0
11/10/1999,15906,2492,2194,217,0,0,0,0,0
20/10/1999,15893,3531,2693,354,0,0,0,0,0
10/10/1999,15143,3557,3046,265,0,0,0,0,0
9/9/1999,15856,3905,3037,778,0,0,0,0,0
8/9/1999,15845,3385,2402,428,0,0,0,0,0
9/8/1999,15823,3797,3137,257,0,0,0,0,0
7/9/1999,15900,3670,2741,312,0,0,0,0,0
8/8/1999,15059,4146,3529,170,0,0,0,0,0
9/7/1999,15831,4676,3564,523,0,0,0,0,0
6/9/1999,14916,2799,2176,128,0,0,0,0,0
7/8/1999,14087,3156,2795,315,0,0,0,0,0
8/7/1999,15780,3829,3015,391,0,0,0,0,0
9/6/1999,15639,4117,2907,405,0,0,0,0,0
5/9/1999,12665,1597,1330,171,0,0,0,0,0
6/8/1999,15833,3622,3141,251,0,0,0,0,0
7/7/1999,15770,4856,3899,624,0,0,0,0,0
8/6/1999,15629,3417,2531,419,0,0,0,0,0
9/5/1999,14587,2030,1630,180,0,0,0,0,0
4/9/1999,13290,1615,1380,165,0,0,0,0,0
5/8/1999,15811,4434,3516,383,0,0,0,0,0
6/7/1999,15780,6064,4978,712,0,0,0,0,0
7/6/1999,15661,3037,2457,458,0,0,0,0,0
8/5/1999,13491,2241,1917,348,0,0,0,0,0
9/4/1999,15486,6238,5013,583,0,0,0,0,0
3/9/1999,15997,2951,2466,236,0,0,0,0,0
4/8/1999,15785,3504,2698,372,0,0,0,0,0
5/7/1999,15153,2920,2392,196,0,0,0,0,0
6/6/1999,14846,3695,2924,245,0,0,0,0,0
7/5/1999,15518,5169,4102,406,0,0,0,0,0
8/4/1999,15446,4441,2935,292,0,0,0,0,0
9/3/1999,15394,6136,5111,1682,0,0,0,0,0
2/9/1999,15987,2310,1842,285,0,0,0,0,0
3/8/1999,15771,2758,2138,308,0,0,0,0,0
4/7/1999,12302,936,941,147,0,0,0,0,0
5/6/1999,13663,1842,1578,201,0,0,0,0,0
6/5/1999,15490,5237,4153,577,0,0,0,0,0
7/4/1999,15452,2916,2088,282,0,0,0,0,0
8/3/1999,15392,6363,5212,1337,0,0,0,0,0
9/2/1999,15312,3084,2596,1050,0,0,0,0,0
1/9/1999,15983,2304,1720,378,0,0,0,0,0
2/8/1999,15794,2694,2266,361,0,0,0,0,0
