fecha, vuelos_totales, atrasos_totales_arribo, tiempo_atrasado_porcentaje_arribo, atrasos_totales_salida, tiempo_atrasado_porcentaje_salida, vuelos_cancelados,vuelos_cancelados_porcentaje,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
7/2/1998,13170,1926,0.146241,1519,0.115338,296,0.0224753,0,0,0,0,0
8/1/1998,15080,5760,0.381963,4583,0.303912,1323,0.0877321,0,0,0,0,0
1/7/1998,15235,3431,0.225205,3247,0.213128,392,0.0257302,0,0,0,0,0
2/6/1998,15107,2898,0.191832,2019,0.133647,474,0.0313762,0,0,0,0,0
3/5/1998,14241,3187,0.22379,2446,0.171758,155,0.0108841,0,0,0,0,0
4/4/1998,13352,1994,0.149341,2012,0.150689,213,0.0159527,0,0,0,0,0
5/3/1998,15193,2931,0.192918,2036,0.134009,177,0.0116501,0,0,0,0,0
6/2/1998,15114,3475,0.229919,2652,0.175466,414,0.0273918,0,0,0,0,0
7/1/1998,15094,5370,0.355771,4143,0.27448,707,0.0468398,0,0,0,0,0
1/6/1998,15053,2744,0.182289,2444,0.16236,413,0.0274364,0,0,0,0,0
2/5/1998,13227,2208,0.166931,1836,0.138807,240,0.0181447,0,0,0,0,0
3/4/1998,15193,4917,0.323636,4257,0.280195,398,0.0261963,0,0,0,0,0
4/3/1998,15163,2018,0.133087,1485,0.0979358,242,0.0159599,0,0,0,0,0
5/2/1998,15100,4513,0.298874,3399,0.225099,865,0.0572848,0,0,0,0,0
6/1/1998,15103,6146,0.406939,4851,0.321194,1033,0.068397,0,0,0,0,0
1/5/1998,15060,4304,0.28579,3385,0.224768,304,0.0201859,0,0,0,0,0
2/4/1998,15173,2839,0.187109,2361,0.155605,389,0.0256376,0,0,0,0,0
3/3/1998,15157,2013,0.13281,1290,0.0851092,257,0.0169559,0,0,0,0,0
4/2/1998,15095,5177,0.342961,3780,0.250414,685,0.0453793,0,0,0,0,0
5/1/1998,15139,5262,0.347579,4394,0.290244,478,0.0315741,0,0,0,0,0
29/9/1998,15222,2405,0.157995,1864,0.122454,490,0.0321903,0,0,0,0,0
1/4/1998,15151,3411,0.225134,2419,0.159659,267,0.0176226,0,0,0,0,0
2/3/1998,15159,2012,0.132726,1543,0.101788,246,0.016228,0,0,0,0,0
3/2/1998,15084,3552,0.235481,2585,0.171374,592,0.0392469,0,0,0,0,0
4/1/1998,14377,5171,0.359672,4669,0.324755,241,0.0167629,0,0,0,0,0
19/9/1998,13334,1770,0.132743,1608,0.120594,606,0.0454477,0,0,0,0,0
28/9/1998,15238,1668,0.109463,1460,0.0958131,506,0.0332065,0,0,0,0,0
29/8/1998,13887,2384,0.171671,2367,0.170447,1542,0.111039,0,0,0,0,0
1/3/1998,14334,2347,0.163737,1936,0.135063,117,0.00816241,0,0,0,0,0
2/2/1998,15088,3118,0.206654,2171,0.143889,432,0.028632,0,0,0,0,0
3/1/1998,13415,3410,0.254193,3244,0.241819,217,0.0161759,0,0,0,0,0
18/9/1998,15266,3580,0.234508,3247,0.212695,903,0.0591511,0,0,0,0,0
27/9/1998,14419,3274,0.227062,2779,0.192732,501,0.0347458,0,0,0,0,0
19/8/1998,15366,2510,0.163348,2049,0.133346,349,0.0227125,0,0,0,0,0
28/8/1998,15397,2336,0.151718,1973,0.128142,422,0.0274079,0,0,0,0,0
29/7/1998,15274,3347,0.219131,2692,0.176247,439,0.0287417,0,0,0,0,0
1/2/1998,14218,2009,0.1413,1740,0.12238,208,0.0146293,0,0,0,0,0
2/1/1998,14219,2460,0.173008,2176,0.153035,148,0.0104086,0,0,0,0,0
17/9/1998,15251,3788,0.248377,3265,0.214084,1131,0.0741591,0,0,0,0,0
26/9/1998,13332,1805,0.135389,1589,0.119187,357,0.0267777,0,0,0,0,0
18/8/1998,15376,4701,0.305736,3838,0.24961,586,0.0381113,0,0,0,0,0
27/8/1998,15373,2084,0.135562,1615,0.105054,356,0.0231575,0,0,0,0,0
28/7/1998,15283,1967,0.128705,1695,0.110908,286,0.0187136,0,0,0,0,0
19/7/1998,14641,3608,0.246431,3035,0.207295,157,0.0107233,0,0,0,0,0
29/6/1998,15242,4460,0.292613,3563,0.233762,523,0.0343131,0,0,0,0,0
1/1/1998,13074,1522,0.116414,1447,0.110678,110,0.00841365,0,0,0,0,0
16/9/1998,15216,2753,0.180928,2431,0.159766,1221,0.0802445,0,0,0,0,0
25/9/1998,15256,4610,0.302176,3991,0.261602,812,0.053225,0,0,0,0,0
17/8/1998,15382,4636,0.301391,3687,0.239696,459,0.0298401,0,0,0,0,0
26/8/1998,15360,2502,0.162891,1823,0.118685,452,0.0294271,0,0,0,0,0
27/7/1998,15290,2604,0.170307,2276,0.148855,283,0.0185088,0,0,0,0,0
18/7/1998,13810,2121,0.153584,2042,0.147864,221,0.0160029,0,0,0,0,0
28/6/1998,14535,3585,0.246646,3395,0.233574,292,0.0200894,0,0,0,0,0
19/6/1998,15262,6146,0.4027,5777,0.378522,688,0.0450793,0,0,0,0,0
29/5/1998,15037,4071,0.270732,3047,0.202634,313,0.0208153,0,0,0,0,0
15/9/1998,15236,3675,0.241205,3204,0.210291,1745,0.114531,0,0,0,0,0
24/9/1998,15242,2847,0.186787,2103,0.137974,313,0.0205354,0,0,0,0,0
16/8/1998,14715,3419,0.232348,2952,0.200612,156,0.0106014,0,0,0,0,0
25/8/1998,15360,3552,0.23125,2837,0.184701,506,0.0329427,0,0,0,0,0
26/7/1998,14630,2695,0.184211,2520,0.172249,160,0.0109364,0,0,0,0,0
17/7/1998,15341,4452,0.290203,3663,0.238772,292,0.019034,0,0,0,0,0
27/6/1998,13750,4803,0.349309,4438,0.322764,606,0.0440727,0,0,0,0,0
18/6/1998,15231,5484,0.360055,4166,0.273521,484,0.0317773,0,0,0,0,0
28/5/1998,14996,3414,0.227661,2735,0.182382,333,0.0222059,0,0,0,0,0
19/5/1998,15012,2816,0.187583,2265,0.150879,449,0.0299094,0,0,0,0,0
29/4/1998,15097,3171,0.210042,2525,0.167252,338,0.0223886,0,0,0,0,0
