año, destino, vuelos_totales,tiempo_atrasado_promedio_arribo, atrasos_totales_arribo, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, MDT, 7715, 1803, 45.80144, 205, 0, 0, 0, 0, 0
1998, MDW, 45994, 8780, 42.99498, 1002, 0, 0, 0, 0, 0
1998, MEM, 51377, 9840, 34.90843, 3294, 0, 0, 0, 0, 0
1998, MFE, 3169, 566, 45.65017, 24, 0, 0, 0, 0, 0
1998, MFR, 1358, 509, 67.04518, 21, 0, 0, 0, 0, 0
1998, MGM, 1906, 378, 38.00793, 57, 0, 0, 0, 0, 0
1998, MHT, 9468, 2058, 44.22011, 228, 0, 0, 0, 0, 0
1998, MIA, 64949, 14091, 48.01454, 1162, 0, 0, 0, 0, 0
1998, MKE, 15269, 3710, 39.23504, 724, 0, 0, 0, 0, 0
1998, MLB, 2411, 502, 37.99203, 19, 0, 0, 0, 0, 0
1998, MLI, 1711, 306, 47.10130, 51, 0, 0, 0, 0, 0
1998, MLU, 2188, 349, 48.84527, 24, 0, 0, 0, 0, 0
1998, MOB, 4298, 806, 40.94913, 70, 0, 0, 0, 0, 0
1998, MOT, 1084, 263, 37.28136, 73, 0, 0, 0, 0, 0
1998, MRY, 722, 220, 48.96363, 22, 0, 0, 0, 0, 0
1998, MSN, 4613, 1349, 40.07042, 321, 0, 0, 0, 0, 0
1998, MSO, 1822, 385, 37.18961, 89, 0, 0, 0, 0, 0
1998, MSP, 136665, 33536, 37.35788, 10032, 0, 0, 0, 0, 0
1998, MSY, 49977, 9704, 43.78060, 832, 0, 0, 0, 0, 0
1998, MTJ, 202, 47, 36.72340, 2, 0, 0, 0, 0, 0
1998, MYR, 2407, 471, 37.24416, 49, 0, 0, 0, 0, 0
1998, OAK, 56007, 10900, 40.10311, 830, 0, 0, 0, 0, 0
1998, OGG, 3011, 662, 43.85045, 8, 0, 0, 0, 0, 0
1998, OKC, 20096, 4023, 45.36440, 224, 0, 0, 0, 0, 0
1998, OMA, 16638, 3787, 45.37523, 277, 0, 0, 0, 0, 0
1998, OME, 934, 268, 35.96641, 42, 0, 0, 0, 0, 0
1998, ONT, 35422, 8009, 42.79323, 673, 0, 0, 0, 0, 0
1998, ORD, 294910, 65873, 47.47624, 10117, 0, 0, 0, 0, 0
1998, ORF, 16333, 3702, 43.58779, 466, 0, 0, 0, 0, 0
1998, OTZ, 894, 222, 38.07657, 42, 0, 0, 0, 0, 0
1998, PBI, 22024, 5152, 47.73272, 222, 0, 0, 0, 0, 0
1998, PDX, 55743, 12437, 43.94934, 1057, 0, 0, 0, 0, 0
1998, PHL, 112034, 27236, 41.87832, 3357, 0, 0, 0, 0, 0
1998, PHX, 170964, 42020, 46.34109, 3335, 0, 0, 0, 0, 0
1998, PIT, 110135, 19127, 40.31939, 3080, 0, 0, 0, 0, 0
1998, PNS, 6523, 1199, 39.47122, 142, 0, 0, 0, 0, 0
1998, PSC, 1456, 204, 41.11764, 21, 0, 0, 0, 0, 0
1998, PSG, 726, 244, 41.92622, 22, 0, 0, 0, 0, 0
1998, PSP, 4211, 1061, 45.72478, 35, 0, 0, 0, 0, 0
1998, PVD, 21741, 4268, 44.76265, 277, 0, 0, 0, 0, 0
1998, PWM, 6615, 1490, 43.25906, 154, 0, 0, 0, 0, 0
1998, RAP, 1121, 309, 35.11650, 90, 0, 0, 0, 0, 0
1998, RDU, 27638, 6092, 43.32994, 728, 0, 0, 0, 0, 0
1998, RIC, 15103, 3291, 41.40504, 503, 0, 0, 0, 0, 0
1998, RNO, 26269, 5734, 46.88768, 298, 0, 0, 0, 0, 0
1998, ROA, 2492, 440, 33.20909, 91, 0, 0, 0, 0, 0
1998, ROC, 14614, 3319, 42.94305, 449, 0, 0, 0, 0, 0
1998, RST, 2279, 601, 36.81530, 139, 0, 0, 0, 0, 0
1998, RSW, 14043, 3207, 44.35859, 157, 0, 0, 0, 0, 0
1998, SAN, 67143, 16386, 44.21060, 1253, 0, 0, 0, 0, 0
1998, SAT, 37476, 7339, 43.37484, 415, 0, 0, 0, 0, 0
1998, SAV, 5132, 1024, 39.60156, 61, 0, 0, 0, 0, 0
1998, SBA, 1430, 476, 67.88025, 39, 0, 0, 0, 0, 0
1998, SBN, 3357, 646, 35.67182, 137, 0, 0, 0, 0, 0
1998, SCC, 516, 117, 44.04273, 26, 0, 0, 0, 0, 0
1998, SDF, 24116, 5149, 44.57719, 467, 0, 0, 0, 0, 0
1998, SEA, 98318, 25794, 42.79084, 2165, 0, 0, 0, 0, 0
1998, SFO, 139884, 48814, 55.90977, 5960, 0, 0, 0, 0, 0
1998, SGF, 1813, 264, 44.17424, 40, 0, 0, 0, 0, 0
1998, SHV, 3884, 619, 45.63812, 69, 0, 0, 0, 0, 0
1998, SIT, 1324, 295, 41.61694, 13, 0, 0, 0, 0, 0
1998, SJC, 49189, 10395, 40.17133, 748, 0, 0, 0, 0, 0
1998, SJU, 20268, 4425, 49.11389, 354, 0, 0, 0, 0, 0
1998, SLC, 85080, 15562, 42.16270, 1456, 0, 0, 0, 0, 0
1998, SMF, 36434, 7613, 44.63759, 269, 0, 0, 0, 0, 0
1998, SNA, 34624, 6960, 36.48879, 719, 0, 0, 0, 0, 0
1998, SRQ, 5986, 1367, 42.16752, 82, 0, 0, 0, 0, 0
1998, STL, 176001, 38496, 48.58910, 4493, 0, 0, 0, 0, 0
1998, STT, 2215, 430, 44.50465, 31, 0, 0, 0, 0, 0
1998, STX, 984, 201, 42.73134, 22, 0, 0, 0, 0, 0
1998, SUX, 687, 186, 34.45698, 50, 0, 0, 0, 0, 0
1998, SWF, 1929, 531, 45.85310, 25, 0, 0, 0, 0, 0
1998, SYR, 11144, 2578, 41.20093, 365, 0, 0, 0, 0, 0
1998, TLH, 2483, 507, 38.66272, 63, 0, 0, 0, 0, 0
1998, TOL, 1894, 424, 44.41037, 43, 0, 0, 0, 0, 0
1998, TPA, 54579, 11650, 49.04094, 672, 0, 0, 0, 0, 0
1998, TRI, 1404, 231, 32.30735, 52, 0, 0, 0, 0, 0
1998, TUL, 18768, 3861, 46.17119, 228, 0, 0, 0, 0, 0
1998, TUS, 18317, 4260, 45.38755, 252, 0, 0, 0, 0, 0
1998, TVC, 1000, 341, 37.15542, 88, 0, 0, 0, 0, 0
1998, TYS, 8250, 1926, 37.27050, 357, 0, 0, 0, 0, 0
1998, VPS, 1085, 255, 47.00784, 77, 0, 0, 0, 0, 0
1998, WRG, 726, 235, 43.03404, 23, 0, 0, 0, 0, 0
1998, YAK, 726, 199, 45.43718, 14, 0, 0, 0, 0, 0
1999, ABE, 6089, 1437, 43.69798, 234, 0, 0, 0, 0, 0
1999, ABQ, 37281, 7535, 43.72780, 292, 0, 0, 0, 0, 0
1999, ADQ, 725, 206, 41.26699, 39, 0, 0, 0, 0, 0
1999, AGS, 1452, 317, 38.82018, 40, 0, 0, 0, 0, 0
1999, AKN, 343, 107, 42.12149, 14, 0, 0, 0, 0, 0
1999, ALB, 11664, 3086, 43.91769, 427, 0, 0, 0, 0, 0
1999, AMA, 4789, 1160, 43.48534, 100, 0, 0, 0, 0, 0
1999, ANC, 20808, 6552, 37.65323, 1121, 0, 0, 0, 0, 0
1999, ATL, 263478, 65858, 44.14885, 7554, 0, 0, 0, 0, 0
1999, AUS, 44339, 8638, 43.71428, 870, 0, 0, 0, 0, 0
1999, AVL, 1423, 223, 29.27354, 70, 0, 0, 0, 0, 0
1999, AVP, 1720, 439, 40.47380, 87, 0, 0, 0, 0, 0
1999, AZO, 1648, 314, 46.06369, 48, 0, 0, 0, 0, 0
1999, BDL, 31888, 7396, 43.01879, 981, 0, 0, 0, 0, 0
1999, BET, 1030, 282, 47.44326, 48, 0, 0, 0, 0, 0
1999, BFL, 241, 67, 47.41791, 1, 0, 0, 0, 0, 0
1999, BGM, 1035, 265, 33.42264, 61, 0, 0, 0, 0, 0
1999, BGR, 178, 43, 39.90697, 11, 0, 0, 0, 0, 0
1999, BHM, 20926, 4078, 45.35115, 340, 0, 0, 0, 0, 0
1999, BIL, 2906, 580, 47.78793, 46, 0, 0, 0, 0, 0
1999, BIS, 1421, 277, 47.77978, 11, 0, 0, 0, 0, 0
1999, BNA, 54544, 10259, 46.02339, 763, 0, 0, 0, 0, 0
1999, BOI, 11508, 2101, 48.86244, 49, 0, 0, 0, 0, 0
1999, BOS, 107768, 31487, 44.39124, 6077, 0, 0, 0, 0, 0
1999, BRO, 93, 15, 33.26666, 3, 0, 0, 0, 0, 0
1999, BRW, 952, 261, 35.54406, 81, 0, 0, 0, 0, 0
1999, BTR, 4669, 679, 43.81296, 42, 0, 0, 0, 0, 0
1999, BTV, 2676, 913, 45.52026, 88, 0, 0, 0, 0, 0
1999, BUF, 18906, 5432, 43.90868, 776, 0, 0, 0, 0, 0
1999, BUR, 27869, 5795, 40.65918, 538, 0, 0, 0, 0, 0
1999, BWI, 81680, 19343, 46.70035, 1736, 0, 0, 0, 0, 0
1999, BZN, 1708, 416, 45.69230, 8, 0, 0, 0, 0, 0
1999, CAE, 4843, 1138, 34.69859, 198, 0, 0, 0, 0, 0
1999, CAK, 1018, 225, 38.95555, 52, 0, 0, 0, 0, 0
1999, CDV, 725, 229, 47.56768, 19, 0, 0, 0, 0, 0
1999, CHA, 1008, 187, 40.15508, 44, 0, 0, 0, 0, 0
1999, CHS, 6975, 1794, 41.35507, 235, 0, 0, 0, 0, 0
1999, CID, 5368, 1147, 41.85963, 240, 0, 0, 0, 0, 0
1999, CLE, 58435, 13413, 46.22545, 1463, 0, 0, 0, 0, 0
1999, CLT, 120591, 24997, 39.63955, 4770, 0, 0, 0, 0, 0
1999, CMH, 37359, 8736, 44.53079, 1059, 0, 0, 0, 0, 0
1999, COS, 12068, 2920, 46.67534, 317, 0, 0, 0, 0, 0
1999, CRP, 3016, 593, 41.08431, 58, 0, 0, 0, 0, 0
1999, CRW, 1319, 360, 36.11666, 91, 0, 0, 0, 0, 0
1999, CVG, 77354, 13356, 39.96099, 1885, 0, 0, 0, 0, 0
1999, DAB, 2364, 500, 46.71200, 25, 0, 0, 0, 0, 0
1999, DAL, 50114, 9122, 39.22286, 1446, 0, 0, 0, 0, 0
1999, DAY, 10683, 2494, 42.83640, 408, 0, 0, 0, 0, 0
1999, DCA, 82289, 19202, 37.04655, 3970, 0, 0, 0, 0, 0
1999, DEN, 135811, 25517, 45.20119, 2448, 0, 0, 0, 0, 0
1999, DFW, 245144, 46874, 44.74546, 7473, 0, 0, 0, 0, 0
1999, DLG, 317, 88, 44.44318, 9, 0, 0, 0, 0, 0
1999, DLH, 1129, 221, 39.27149, 49, 0, 0, 0, 0, 0
1999, DRO, 112, 20, 51.60000, 1, 0, 0, 0, 0, 0
1999, DSM, 6896, 1484, 47.92924, 138, 0, 0, 0, 0, 0
1999, DTW, 154197, 28628, 48.92905, 4582, 0, 0, 0, 0, 0
1999, DUT, 706, 329, 22.27051, 181, 0, 0, 0, 0, 0
1999, EGE, 1128, 346, 63.06358, 27, 0, 0, 0, 0, 0
1999, ELM, 1306, 236, 39.41525, 38, 0, 0, 0, 0, 0
1999, ELP, 24656, 4929, 42.47981, 195, 0, 0, 0, 0, 0
1999, ERI, 1371, 304, 38.96710, 53, 0, 0, 0, 0, 0
1999, EUG, 2174, 551, 63.34482, 17, 0, 0, 0, 0, 0
1999, EWR, 125816, 39889, 52.16759, 5880, 0, 0, 0, 0, 0
1999, FAI, 5511, 1602, 38.02808, 222, 0, 0, 0, 0, 0
1999, FAR, 2577, 485, 44.58762, 36, 0, 0, 0, 0, 0
1999, FAT, 363, 110, 52.15454, 5, 0, 0, 0, 0, 0
1999, FAY, 1412, 290, 30.54827, 109, 0, 0, 0, 0, 0
1999, FCA, 1148, 183, 48.31147, 13, 0, 0, 0, 0, 0
1999, FLL, 45756, 12017, 47.65365, 762, 0, 0, 0, 0, 0
1999, FNT, 1248, 339, 43.39823, 27, 0, 0, 0, 0, 0
1999, FSD, 3866, 673, 48.50817, 35, 0, 0, 0, 0, 0
1999, FWA, 432, 74, 26.08108, 19, 0, 0, 0, 0, 0
1999, GEG, 13500, 2800, 45.62071, 179, 0, 0, 0, 0, 0
1999, GFK, 1105, 222, 49.98198, 17, 0, 0, 0, 0, 0
1999, GPT, 1092, 96, 48.40625, 3, 0, 0, 0, 0, 0
1999, GRB, 2428, 479, 46.49269, 43, 0, 0, 0, 0, 0
1999, GRR, 8794, 1975, 44.78329, 261, 0, 0, 0, 0, 0
1999, GSO, 15038, 4046, 44.11418, 572, 0, 0, 0, 0, 0
1999, GSP, 6926, 1550, 38.21612, 331, 0, 0, 0, 0, 0
1999, GST, 98, 26, 42.26923, , 0, 0, 0, 0, 0
1999, GTF, 2419, 357, 39.14285, 20, 0, 0, 0, 0, 0
1999, GUC, 213, 57, 49.80701, 5, 0, 0, 0, 0, 0
