año, destino, vuelos_totales,tiempo_atrasado_promedio_salida, atrasos_totales_salida, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, MHT, 9464, 1352, 42.97855, 227, 0, 0, 0, 0, 0
1998, MIA, 64934, 11057, 56.12507, 1243, 0, 0, 0, 0, 0
1998, MKE, 15270, 2243, 38.82567, 759, 0, 0, 0, 0, 0
1998, MKK, 1, 1, 0, 1, 0, 0, 0, 0, 0
1998, MLB, 2411, 168, 42.97619, 19, 0, 0, 0, 0, 0
1998, MLI, 1711, 199, 46.14572, 50, 0, 0, 0, 0, 0
1998, MLU, 2188, 197, 53.74619, 27, 0, 0, 0, 0, 0
1998, MOB, 4297, 657, 54.31354, 77, 0, 0, 0, 0, 0
1998, MOT, 1084, 158, 27.55063, 77, 0, 0, 0, 0, 0
1998, MRY, 722, 172, 56.19186, 23, 0, 0, 0, 0, 0
1998, MSN, 4613, 885, 38.75932, 330, 0, 0, 0, 0, 0
1998, MSO, 1823, 248, 45.60483, 82, 0, 0, 0, 0, 0
1998, MSP, 136693, 34889, 41.78838, 9635, 0, 0, 0, 0, 0
1998, MSY, 49983, 6834, 47.91322, 982, 0, 0, 0, 0, 0
1998, MTJ, 202, 26, 42.00000, 3, 0, 0, 0, 0, 0
1998, MYR, 2408, 263, 35.42585, 56, 0, 0, 0, 0, 0
1998, OAK, 56002, 9524, 39.38124, 843, 0, 0, 0, 0, 0
1998, OGG, 3011, 368, 68.57065, 11, 0, 0, 0, 0, 0
1998, OKC, 20092, 2730, 45.76923, 258, 0, 0, 0, 0, 0
1998, OMA, 16639, 2420, 49.45950, 298, 0, 0, 0, 0, 0
1998, OME, 934, 234, 38.38034, 38, 0, 0, 0, 0, 0
1998, ONT, 35410, 5661, 43.52905, 739, 0, 0, 0, 0, 0
1998, ORD, 294896, 63408, 47.16147, 9501, 0, 0, 0, 0, 0
1998, ORF, 16321, 2278, 44.05179, 493, 0, 0, 0, 0, 0
1998, OTZ, 894, 215, 40.86976, 51, 0, 0, 0, 0, 0
1998, PBI, 22025, 2975, 54.43596, 261, 0, 0, 0, 0, 0
1998, PDX, 55741, 8756, 46.21402, 1169, 0, 0, 0, 0, 0
1998, PHL, 111999, 24411, 42.96964, 3508, 0, 0, 0, 0, 0
1998, PHX, 171001, 40641, 48.58642, 3058, 0, 0, 0, 0, 0
1998, PIT, 110172, 18476, 42.67806, 2666, 0, 0, 0, 0, 0
1998, PNS, 6522, 827, 43.24909, 167, 0, 0, 0, 0, 0
1998, PSC, 1456, 126, 42.04761, 26, 0, 0, 0, 0, 0
1998, PSG, 726, 195, 48.54871, 34, 0, 0, 0, 0, 0
1998, PSP, 4216, 536, 55.50932, 39, 0, 0, 0, 0, 0
1998, PVD, 21743, 2785, 48.03806, 297, 0, 0, 0, 0, 0
