Anio,Mes,Dia,otp
1998,10,26,8.334431848141312
1998,10,27,10.102242744063325
1998,10,28,10.340279609601689
1998,10,29,14.446640316205533
1998,10,30,18.8983886879316
1998,10,31,10.211960635881908
1998,11,1,28.52879213483146
1998,11,2,24.801482265749073
1998,11,3,18.012258617280697
1998,11,4,10.848948374760994
1998,11,5,20.083333333333332
1998,11,6,40.64088178998086
1998,11,7,12.948755066589461
1998,11,8,20.167793964620188
1998,11,9,25.127450980392158
1998,11,10,11.473018959649975
1998,11,11,19.082508250825082
1998,11,12,15.92388089134293
1998,11,13,12.73342977380326
1998,11,14,9.730754645430414
1998,11,15,13.706657420249654
1998,11,16,16.00210554020266
1998,11,17,14.454695222405272
1998,11,18,9.775377116132008
1998,11,19,16.980946123521683
1998,11,20,20.768827079506693
1998,11,21,9.790183305559763
1998,11,22,7.9089961792288985
1998,11,23,13.77540951253207
1998,11,24,12.367677033335525
1998,11,25,9.466815320041972
1998,11,26,7.1625712250712255
1998,11,27,5.748144399460189
1998,11,28,8.891056422569028
1998,11,29,14.88066744170143
1998,11,30,22.216739044611135
1998,12,1,28.52257636122178
1998,12,2,18.722379790251303
1998,12,3,16.07659910502764
1998,12,4,9.789644012944985
1998,12,5,17.7049289668512
1998,12,6,33.0121670503124
1998,12,7,14.701864626733146
1998,12,8,16.975730366321816
1998,12,9,16.737763807813202
1998,12,10,11.187545257060101
1998,12,11,17.700309434459147
1998,12,12,9.309377605943446
1998,12,13,15.296613116350233
1998,12,14,10.462816455696203
1998,12,15,11.023286323384717
1998,12,16,13.596462495905666
1998,12,17,21.014777036746437
1998,12,18,28.101927474681478
1998,12,19,27.405685142128554
1998,12,20,31.692573402417963
1998,12,21,34.53355155482815
1998,12,22,41.82472204054938
1998,12,23,54.97842573221757
1998,12,24,50.51833568406206
1998,12,25,20.460510617990934
1998,12,26,23.344182877904775
1998,12,27,30.687794076944368
1998,12,28,36.826682470696696
1998,12,29,45.380811078140454
1998,12,30,33.46513773560037
1998,12,31,20.746015348288076
1999,1,1,26.434269059671728
1999,1,2,23.663722603859995
1999,1,3,10.966735966735968
1999,1,4,24.04070521130412
1999,1,5,11.123981765189448
1999,1,6,21.246852198618196
1999,1,7,39.397016820057125
1999,1,8,26.644933803472824
1999,1,9,12.588375148595382
1999,1,10,15.882019285309132
1999,1,11,17.61334853090172
1999,1,12,13.816498636738316
1999,1,13,30.6278410962514
1999,1,14,40.7922419460881
1999,1,15,42.81824146981627
1999,1,16,15.62669560499186
1999,1,17,22.067608405369317
1999,1,18,29.319973718791065
1999,1,19,13.143684973001449
1999,1,20,24.6807950506779
1999,1,21,30.607553366174056
1999,1,22,36.97646981713312
